Location,Year,Number,Population,Rate
Nobleboro,2018,<6,"1,685",*
North Haven,2011,<6,359,*
North Haven,2012,<6,359,*
North Haven,2016,<6,369,*
North Haven,2018,<6,369,*
Northport,2009,<6,"1,521",*
Northport,2012,<6,"1,516",*
Northport,2013,<6,"1,523",*
Northport,2014,<6,"1,528",*
Northport,2015,<6,"1,503",*
Northport,2016,<6,"1,545",*
Northport,2018,<6,"1,545",*
Ogunquit,2008,<6,"1,208",*
Ogunquit,2012,<6,877,*
Ogunquit,2013,<6,867,*
Ogunquit,2014,<6,862,*
Ogunquit,2016,<6,848,*
Ogunquit,2017,<6,848,*
Ogunquit,2018,<6,848,*
Old Orchard Beach,2013,<6,"8,634",*
Orneville Twp,2018,<6,249,*
Otis,2009,<6,645,*
Otis,2012,<6,684,*
Otis,2017,<6,681,*
Otisfield,2008,<6,"1,688",*
Otisfield,2009,<6,"1,754",*
Otisfield,2010,<6,"1,770",*
Otisfield,2011,<6,"1,783",*
Otisfield,2013,<6,"1,763",*
Otisfield,2014,<6,"1,764",*
Otisfield,2015,<6,"1,758",*
Otisfield,2016,<6,"1,771",*
Otisfield,2017,<6,"1,771",*
Otisfield,2018,<6,"1,771",*
Owls Head,2008,<6,"1,635",*
Owls Head,2009,<6,"1,591",*
Owls Head,2010,<6,"1,580",*
Owls Head,2012,<6,"1,563",*
Owls Head,2013,<6,"1,545",*
Owls Head,2014,<6,"1,543",*
Owls Head,2015,<6,"1,552",*
Owls Head,2018,<6,"1,552",*
Palermo,2008,<6,"1,300",*
Palermo,2013,<6,"1,549",*
Palermo,2015,<6,"1,552",*
Palermo,2016,<6,"1,536",*
Palermo,2017,<6,"1,536",*
Palermo,2018,<6,"1,536",*
Palmyra,2011,<6,"1,987",*
Palmyra,2012,<6,"1,977",*
Palmyra,2018,<6,"1,946",*
Parkman,2017,<6,854,*
Parkman,2018,<6,854,*
Parsonsfield,2011,<6,"1,916",*
Parsonsfield,2012,<6,"1,929",*
Parsonsfield,2015,<6,"1,951",*
Parsonsfield,2016,<6,"1,952",*
Parsonsfield,2017,<6,"1,952",*
Patten,2017,<6,957,*
Pembroke,2011,<6,834,*
Penobscot,2008,<6,"1,341",*
Penobscot,2009,<6,"1,309",*
Penobscot,2011,<6,"1,254",*
Penobscot,2012,<6,"1,259",*
Penobscot,2013,<6,"1,259",*
Penobscot,2014,<6,"1,244",*
Peru,2009,<6,"1,573",*
Peru,2012,<6,"1,544",*
Peru,2015,<6,"1,546",*
Peru,2018,<6,"1,543",*
Phillips,2009,<6,"1,045",*
Phillips,2010,<6,"1,028",*
Phillips,2011,<6,"1,034",*
Phillips,2013,<6,"1,012",*
Phillips,2018,<6,"1,013",*
Plymouth,2016,<6,"1,393",*
Plymouth,2017,<6,"1,393",*
Porter,2008,<6,"1,496",*
Porter,2011,<6,"1,503",*
Porter,2013,<6,"1,512",*
Porter,2015,<6,"1,530",*
Porter,2016,<6,"1,525",*
Porter,2017,<6,"1,525",*
Porter,2018,<6,"1,525",*
Pownal,2008,<6,"1,668",*
Pownal,2010,<6,"1,474",*
Pownal,2011,<6,"1,469",*
Pownal,2012,<6,"1,475",*
Pownal,2015,<6,"1,512",*
Pownal,2017,<6,"1,531",*
Princeton,2016,<6,819,*
Princeton,2018,<6,819,*
Prospect,2013,<6,717,*
Prospect,2014,<6,711,*
Prospect,2016,<6,725,*
Prospect,2018,<6,725,*
Randolph,2008,<6,"1,963",*
Randolph,2011,<6,"1,760",*
Stonington,2015,<6,"1,051",*
Stonington,2016,<6,"1,054",*
Stonington,2018,<6,"1,054",*
Stow,2011,<6,385,*
Stow,2017,<6,384,*
Strong,2009,<6,"1,227",*
Strong,2010,<6,"1,213",*
Strong,2012,<6,"1,211",*
Strong,2016,<6,"1,179",*
Strong,2018,<6,"1,179",*
Sullivan,2009,<6,"1,245",*
Sullivan,2015,<6,"1,255",*
Sullivan,2016,<6,"1,254",*
Sullivan,2018,<6,"1,254",*
Sumner,2013,<6,949,*
Sumner,2014,<6,961,*
Sumner,2016,<6,955,*
Sumner,2017,<6,955,*
Surry,2009,<6,"1,468",*
Surry,2010,<6,"1,466",*
Surry,2013,<6,"1,484",*
Surry,2014,<6,"1,482",*
Surry,2015,<6,"1,473",*
Surry,2016,<6,"1,485",*
Surry,2017,<6,"1,485",*
Swans Island,2010,<6,332,*
Swans Island,2011,<6,342,*
Swans Island,2013,<6,334,*
Swans Island,2014,<6,335,*
Swans Island,2015,<6,335,*
Swans Island,2016,<6,337,*
Swans Island,2017,<6,337,*
Swans Island,2018,<6,337,*
Swanville,2008,<6,"1,450",*
Swanville,2009,<6,"1,420",*
Swanville,2010,<6,"1,388",*
Swanville,2011,<6,"1,381",*
Swanville,2013,<6,"1,398",*
Swanville,2014,<6,"1,414",*
Swanville,2016,<6,"1,397",*
Swanville,2017,<6,"1,397",*
Swanville,2018,<6,"1,397",*
Sweden,2011,<6,393,*
Sweden,2012,<6,391,*
Sweden,2018,<6,383,*
Temple,2010,<6,528,*
Thorndike,2012,<6,897,*
Thorndike,2013,<6,914,*
Thorndike,2014,<6,922,*
Thorndike,2015,<6,927,*
Thorndike,2016,<6,937,*
Thorndike,2017,<6,937,*
Thorndike,2018,<6,937,*
Topsfield,2011,<6,238,*
Tremont,2009,<6,"1,589",*
Tremont,2010,<6,"1,563",*
Tremont,2013,<6,"1,567",*
Tremont,2014,<6,"1,559",*
Tremont,2015,<6,"1,553",*
Tremont,2016,<6,"1,568",*
Tremont,2017,<6,"1,568",*
Trenton,2008,<6,"1,449",*
Trenton,2012,<6,"1,519",*
Trenton,2013,<6,"1,523",*
Trenton,2014,<6,"1,528",*
Trenton,2017,<6,"1,549",*
Trenton,2018,<6,"1,549",*
Troy,2013,<6,"1,025",*
Troy,2015,<6,"1,035",*
Troy,2016,<6,"1,037",*
Troy,2017,<6,"1,037",*
Troy,2018,<6,"1,037",*
Turner,2011,<6,"5,771",*
Turner,2014,<6,"5,809",*
Turner,2015,<6,"5,773",*
Veazie,2012,<6,"1,907",*
Veazie,2014,<6,"1,898",*
Veazie,2016,<6,"1,868",*
Veazie,2017,<6,"1,868",*
Veazie,2018,<6,"1,868",*
Verona Island,2010,<6,544,*
Verona Island,2013,<6,548,*
Verona Island,2014,<6,542,*
Verona Island,2015,<6,530,*
Verona Island,2017,<6,531,*
Verona Island,2018,<6,531,*
Vienna,2010,<6,570,*
Vienna,2015,<6,584,*
Vienna,2017,<6,589,*
Vienna,2018,<6,589,*
Vinalhaven,2010,<6,"1,165",*
Vinalhaven,2011,<6,"1,175",*
Vinalhaven,2013,<6,"1,158",*
Vinalhaven,2014,<6,"1,163",*
Vinalhaven,2015,<6,"1,174",*
Vinalhaven,2016,<6,"1,182",*
Vinalhaven,2018,<6,"1,182",*
Waldo,2008,<6,910,*
Waldo,2010,<6,762,*
Waldo,2012,<6,777,*
Waldo,2016,<6,822,*
Waldo,2017,<6,822,*
Waldo,2018,<6,822,*
Wales,2009,<6,"1,591",*
Wales,2011,<6,"1,638",*
Wales,2012,<6,"1,645",*
Wales,2013,<6,"1,651",*
Wales,2014,<6,"1,645",*
Wales,2015,<6,"1,650",*
Wales,2016,<6,"1,659",*
Wales,2017,<6,"1,659",*
Wallagrass,2018,<6,570,*
Waltham,2014,<6,364,*
Washington,2008,<6,"1,416",*
Washington,2009,<6,"1,467",*
Washington,2010,<6,"1,527",*
Washington,2011,<6,"1,522",*
Washington,2012,<6,"1,535",*
Washington,2013,<6,"1,523",*
Washington,2015,<6,"1,533",*
Washington,2016,<6,"1,532",*
Washington,2018,<6,"1,532",*
Waterford,2012,<6,"1,557",*
Waterford,2013,<6,"1,559",*
Waterford,2014,<6,"1,549",*
Waterford,2015,<6,"1,552",*
Waterford,2017,<6,"1,548",*
Waterford,2018,<6,"1,548",*
Wayne,2008,<6,"1,182",*
Wayne,2009,<6,"1,190",*
Wayne,2010,<6,"1,189",*
Wayne,2011,<6,"1,189",*
Wayne,2012,<6,"1,193",*
Wayne,2013,<6,"1,181",*
Wayne,2014,<6,"1,166",*
Wayne,2015,<6,"1,154",*
Wayne,2016,<6,"1,143",*
Wayne,2018,<6,"1,143",*
Weld,2009,<6,408,*
Weld,2017,<6,399,*
West Bath,2008,<6,"1,860",*
West Bath,2009,<6,"1,854",*
West Bath,2012,<6,"1,878",*
West Bath,2015,<6,"1,866",*
West Bath,2017,<6,"1,852",*
West Bath,2018,<6,"1,852",*
West Paris,2011,<6,"1,797",*
West Paris,2014,<6,"1,773",*
West Paris,2016,<6,"1,764",*
West Paris,2018,<6,"1,764",*
Westfield,2017,<6,513,*
Westport Island,2009,<6,741,*
Westport Island,2011,<6,716,*
Westport Island,2013,<6,706,*
Westport Island,2014,<6,714,*
Westport Island,2015,<6,708,*
Westport Island,2016,<6,710,*
Westport Island,2017,<6,710,*
Whiting,2016,<6,467,*
Whiting,2017,<6,467,*
Whiting,2018,<6,467,*
Wilton,2012,<6,"4,099",*
Wilton,2014,<6,"4,049",*
Winter Harbor,2016,<6,500,*
Winterville Plt,2017,<6,227,*
Woodstock,2009,<6,"1,336",*
Woodstock,2013,<6,"1,288",*
Woodstock,2017,<6,"1,277",*
Woodstock,2018,<6,"1,277",*
Woolwich,2015,<6,"3,066",*
Abbot,2016,0,704,0.0
Abbot,2018,0,704,0.0
Acton,2012,0,"2,509",0.0
Addison,2009,0,"1,254",0.0
Addison,2011,0,"1,265",0.0
Addison,2012,0,"1,254",0.0
Addison,2013,0,"1,242",0.0
Addison,2016,0,"1,236",0.0
Albion,2009,0,"2,079",0.0
Albion,2010,0,"2,041",0.0
Alexander,2009,0,505,0.0
Alexander,2011,0,497,0.0
Alexander,2012,0,497,0.0
Alexander,2013,0,486,0.0
Alexander,2014,0,483,0.0
Alexander,2015,0,480,0.0
Alexander,2017,0,472,0.0
Alexander,2018,0,472,0.0
Allagash,2014,0,230,0.0
Allagash,2016,0,222,0.0
Allagash,2017,0,222,0.0
Allagash,2018,0,222,0.0
Alna,2009,0,693,0.0
Alna,2014,0,715,0.0
Alton,2008,0,837,0.0
Alton,2010,0,890,0.0
Alton,2011,0,943,0.0
Alton,2012,0,931,0.0
Alton,2013,0,908,0.0
Alton,2014,0,901,0.0
Alton,2015,0,890,0.0
Alton,2016,0,884,0.0
Alton,2017,0,884,0.0
Alton,2018,0,884,0.0
Amherst,2008,0,234,0.0
Amherst,2009,0,254,0.0
Amherst,2010,0,265,0.0
Amherst,2011,0,271,0.0
Amherst,2012,0,274,0.0
Amherst,2013,0,279,0.0
Amherst,2014,0,282,0.0
Amherst,2015,0,280,0.0
Amherst,2016,0,282,0.0
Amherst,2017,0,282,0.0
Amherst,2018,0,282,0.0
Amity,2014,0,227,0.0
Amity,2016,0,218,0.0
Amity,2017,0,218,0.0
Amity,2018,0,218,0.0
Andover,2008,0,917,0.0
Andover,2009,0,871,0.0
Andover,2010,0,821,0.0
Andover,2011,0,818,0.0
Andover,2012,0,819,0.0
Andover,2013,0,810,0.0
Andover,2014,0,819,0.0
Andover,2015,0,811,0.0
Andover,2016,0,811,0.0
Andover,2017,0,811,0.0
Andover,2018,0,811,0.0
Anson,2008,0,"2,548",0.0
Anson,2009,0,"2,542",0.0
Anson,2011,0,"2,513",0.0
Anson,2012,0,"2,503",0.0
Anson,2014,0,"2,463",0.0
Anson,2015,0,"2,465",0.0
Anson,2016,0,"2,451",0.0
Appleton,2008,0,"1,344",0.0
Appleton,2009,0,"1,318",0.0
Argyle Twp,2008,0,254,0.0
Argyle Twp,2010,0,277,0.0
Argyle Twp,2011,0,288,0.0
Argyle Twp,2012,0,283,0.0
Argyle Twp,2013,0,277,0.0
Argyle Twp,2014,0,283,0.0
Argyle Twp,2015,0,277,0.0
Argyle Twp,2016,0,279,0.0
Argyle Twp,2017,0,279,0.0
Argyle Twp,2018,0,279,0.0
Ashland,2016,0,"1,231",0.0
Ashland,2017,0,"1,231",0.0
Ashland,2018,0,"1,231",0.0
Athens,2008,0,872,0.0
Athens,2009,0,962,0.0
Athens,2010,0,"1,019",0.0
Athens,2011,0,"1,019",0.0
Athens,2012,0,"1,019",0.0
Athens,2014,0,"1,006",0.0
Athens,2015,0,"1,012",0.0
Athens,2016,0,"1,011",0.0
Atkinson,2016,0,313,0.0
Atkinson,2017,0,313,0.0
Atkinson,2018,0,313,0.0
Aurora,2008,0,129,0.0
Aurora,2009,0,121,0.0
Aurora,2010,0,114,0.0
Aurora,2011,0,117,0.0
Aurora,2012,0,118,0.0
Aurora,2014,0,116,0.0
Aurora,2015,0,117,0.0
Aurora,2016,0,118,0.0
Aurora,2017,0,118,0.0
Aurora,2018,0,118,0.0
Avon,2008,0,507,0.0
Avon,2009,0,488,0.0
Avon,2010,0,461,0.0
Avon,2011,0,460,0.0
Avon,2012,0,458,0.0
Avon,2013,0,461,0.0
Avon,2014,0,455,0.0
Avon,2015,0,450,0.0
Avon,2016,0,454,0.0
Avon,2017,0,454,0.0
Avon,2018,0,454,0.0
Baileyville,2009,0,"1,544",0.0
Baileyville,2011,0,"1,524",0.0
Baileyville,2012,0,"1,499",0.0
Baileyville,2013,0,"1,473",0.0
Baileyville,2014,0,"1,449",0.0
Baileyville,2015,0,"1,444",0.0
Baileyville,2016,0,"1,424",0.0
Baileyville,2017,0,"1,424",0.0
Baileyville,2018,0,"1,424",0.0
Baldwin,2009,0,"1,492",0.0
Bancroft Twp,2014,0,63,0.0
Bancroft Twp,2016,0,62,0.0
Bancroft Twp,2017,0,62,0.0
Bancroft Twp,2018,0,62,0.0
Baring Plt,2009,0,257,0.0
Baring Plt,2011,0,246,0.0
Baring Plt,2012,0,246,0.0
Baring Plt,2013,0,244,0.0
Baring Plt,2014,0,242,0.0
Baring Plt,2015,0,234,0.0
Baring Plt,2016,0,237,0.0
Baring Plt,2017,0,237,0.0
Baring Plt,2018,0,237,0.0
Beals,2009,0,568,0.0
Beals,2011,0,512,0.0
Beals,2012,0,506,0.0
Beals,2013,0,500,0.0
Beals,2014,0,491,0.0
Beals,2015,0,500,0.0
Beals,2016,0,491,0.0
Beals,2017,0,491,0.0
Beals,2018,0,491,0.0
Beaver Cove,2016,0,117,0.0
Beaver Cove,2017,0,117,0.0
Beaver Cove,2018,0,117,0.0
Beddington,2011,0,50,0.0
Beddington,2012,0,50,0.0
Belgrade,2010,0,"3,189",0.0
Belmont,2008,0,928,0.0
Belmont,2009,0,939,0.0
Belmont,2012,0,938,0.0
Belmont,2016,0,953,0.0
Benton,2008,0,"2,682",0.0
Benton,2010,0,"2,732",0.0
Bethel,2008,0,"2,616",0.0
Bethel,2009,0,"2,639",0.0
Bethel,2010,0,"2,607",0.0
Bethel,2011,0,"2,611",0.0
Bethel,2014,0,"2,635",0.0
Bingham,2008,0,907,0.0
Bingham,2009,0,921,0.0
Bingham,2010,0,922,0.0
Bingham,2011,0,922,0.0
Bingham,2012,0,919,0.0
Bingham,2014,0,890,0.0
Bingham,2015,0,864,0.0
Bingham,2016,0,862,0.0
Bingham,2018,0,862,0.0
Blaine,2014,0,698,0.0
Blaine,2016,0,697,0.0
Blaine,2017,0,697,0.0
Blaine,2018,0,697,0.0
Blanchard Twp,2016,0,94,0.0
Blanchard Twp,2017,0,94,0.0
Blanchard Twp,2018,0,94,0.0
Blue Hill,2008,0,"2,274",0.0
Blue Hill,2009,0,"2,560",0.0
Boothbay,2009,0,"3,165",0.0
Boothbay,2010,0,"3,120",0.0
Boothbay Harbor,2008,0,"2,262",0.0
Boothbay Harbor,2009,0,"2,211",0.0
Boothbay Harbor,2010,0,"2,165",0.0
Boothbay Harbor,2011,0,"2,106",0.0
Boothbay Harbor,2012,0,"2,112",0.0
Bowerbank,2016,0,113,0.0
Bowerbank,2017,0,113,0.0
Bowerbank,2018,0,113,0.0
Bradford,2008,0,"1,296",0.0
Bradford,2010,0,"1,290",0.0
Bradford,2011,0,"1,302",0.0
Bradford,2012,0,"1,307",0.0
Bradford,2013,0,"1,346",0.0
Bradford,2014,0,"1,293",0.0
Bradford,2015,0,"1,281",0.0
Bradford,2016,0,"1,325",0.0
Bradford,2017,0,"1,325",0.0
Bradley,2008,0,"1,305",0.0
Bradley,2010,0,"1,492",0.0
Bradley,2011,0,"1,504",0.0
Bradley,2012,0,"1,503",0.0
Bradley,2013,0,"1,526",0.0
Bradley,2016,0,"1,473",0.0
Bremen,2009,0,804,0.0
Bremen,2010,0,806,0.0
Bremen,2011,0,789,0.0
Brewer,2008,0,"9,148",0.0
Brewer,2010,0,"9,482",0.0
Bridgewater,2014,0,592,0.0
Bridgewater,2016,0,578,0.0
Bridgewater,2017,0,578,0.0
Bridgewater,2018,0,578,0.0
Brighton Plt,2008,0,83,0.0
Brighton Plt,2009,0,76,0.0
Brighton Plt,2010,0,70,0.0
Brighton Plt,2011,0,72,0.0
Brighton Plt,2012,0,72,0.0
Brighton Plt,2013,0,66,0.0
Brighton Plt,2014,0,65,0.0
Brighton Plt,2015,0,65,0.0
Brighton Plt,2016,0,66,0.0
Brighton Plt,2017,0,66,0.0
Brighton Plt,2018,0,66,0.0
Brooklin,2008,0,832,0.0
Brooklin,2009,0,835,0.0
Brooklin,2010,0,824,0.0
Brooklin,2012,0,830,0.0
Brooks,2009,0,"1,085",0.0
Brooks,2011,0,"1,102",0.0
Brooks,2013,0,"1,093",0.0
Brooks,2016,0,"1,093",0.0
Brooksville,2008,0,848,0.0
Brooksville,2009,0,906,0.0
Brooksville,2010,0,934,0.0
Brooksville,2012,0,933,0.0
Brownfield,2009,0,"1,538",0.0
Brownfield,2015,0,"1,623",0.0
Brownville,2016,0,"1,178",0.0
Brownville,2018,0,"1,178",0.0
Buckfield,2009,0,"1,983",0.0
Buckfield,2014,0,"2,025",0.0
Buckfield,2015,0,"2,017",0.0
Buckfield,2016,0,"2,014",0.0
Burlington,2008,0,372,0.0
Burlington,2010,0,363,0.0
Burlington,2011,0,379,0.0
Burlington,2013,0,363,0.0
Burlington,2014,0,368,0.0
Burlington,2015,0,358,0.0
Burlington,2016,0,351,0.0
Burlington,2017,0,351,0.0
Burlington,2018,0,351,0.0
Burnham,2008,0,"1,130",0.0
Burnham,2009,0,"1,153",0.0
Burnham,2010,0,"1,164",0.0
Burnham,2011,0,"1,193",0.0
Burnham,2012,0,"1,171",0.0
Burnham,2014,0,"1,183",0.0
Byron,2008,0,137,0.0
Byron,2009,0,144,0.0
Byron,2010,0,145,0.0
Byron,2011,0,145,0.0
Byron,2012,0,145,0.0
Byron,2013,0,144,0.0
Byron,2014,0,145,0.0
Byron,2015,0,144,0.0
Byron,2016,0,145,0.0
Byron,2017,0,145,0.0
Byron,2018,0,145,0.0
Calais,2009,0,"3,156",0.0
Calais,2012,0,"3,044",0.0
Calais,2013,0,"3,025",0.0
Calais,2014,0,"2,980",0.0
Calais,2016,0,"2,937",0.0
Cambridge,2008,0,490,0.0
Cambridge,2009,0,477,0.0
Cambridge,2010,0,462,0.0
Cambridge,2011,0,457,0.0
Cambridge,2012,0,448,0.0
Cambridge,2013,0,448,0.0
Cambridge,2014,0,441,0.0
Cambridge,2015,0,438,0.0
Cambridge,2017,0,437,0.0
Cambridge,2018,0,437,0.0
Canaan,2009,0,"2,219",0.0
Canaan,2012,0,"2,247",0.0
Canaan,2016,0,"2,240",0.0
Canton,2008,0,"1,101",0.0
Canton,2010,0,990,0.0
Canton,2011,0,982,0.0
Canton,2012,0,959,0.0
Canton,2013,0,942,0.0
Canton,2014,0,946,0.0
Canton,2016,0,917,0.0
Caratunk,2008,0,102,0.0
Caratunk,2009,0,83,0.0
Caratunk,2010,0,69,0.0
Caratunk,2011,0,68,0.0
Caratunk,2012,0,68,0.0
Caratunk,2013,0,64,0.0
Caratunk,2014,0,64,0.0
Caratunk,2015,0,61,0.0
Caratunk,2016,0,61,0.0
Caratunk,2017,0,61,0.0
Caratunk,2018,0,61,0.0
Caribou,2014,0,"7,859",0.0
Caribou,2017,0,"7,684",0.0
Caribou,2018,0,"7,684",0.0
Carmel,2008,0,"2,673",0.0
Carmel,2010,0,"2,794",0.0
Carmel,2011,0,"2,809",0.0
Carmel,2013,0,"2,831",0.0
Carrabassett Valley,2008,0,473,0.0
Carrabassett Valley,2009,0,709,0.0
Carrabassett Valley,2010,0,781,0.0
Carrabassett Valley,2011,0,789,0.0
Carrabassett Valley,2012,0,784,0.0
Carrabassett Valley,2015,0,780,0.0
Carrabassett Valley,2016,0,782,0.0
Carrabassett Valley,2017,0,782,0.0
Carroll Plt,2008,0,140,0.0
Carroll Plt,2010,0,153,0.0
Carroll Plt,2011,0,161,0.0
Carroll Plt,2012,0,159,0.0
Carroll Plt,2013,0,156,0.0
Carroll Plt,2014,0,159,0.0
Carroll Plt,2015,0,157,0.0
Carroll Plt,2016,0,156,0.0
Carroll Plt,2017,0,156,0.0
Carroll Plt,2018,0,156,0.0
Carthage,2008,0,502,0.0
Carthage,2009,0,543,0.0
Carthage,2010,0,560,0.0
Carthage,2011,0,557,0.0
Carthage,2012,0,558,0.0
Carthage,2013,0,563,0.0
Carthage,2014,0,562,0.0
Carthage,2015,0,552,0.0
Carthage,2016,0,551,0.0
Carthage,2017,0,551,0.0
Cary Plt,2014,0,210,0.0
Cary Plt,2016,0,204,0.0
Cary Plt,2017,0,204,0.0
Cary Plt,2018,0,204,0.0
Castine,2010,0,"1,366",0.0
Castle Hill,2014,0,398,0.0
Castle Hill,2016,0,393,0.0
Castle Hill,2017,0,393,0.0
Castle Hill,2018,0,393,0.0
Caswell,2014,0,300,0.0
Caswell,2016,0,292,0.0
Caswell,2017,0,292,0.0
Caswell,2018,0,292,0.0
Central Aroostook,2014,0,113,0.0
Central Aroostook,2016,0,111,0.0
Central Aroostook,2017,0,111,0.0
Central Aroostook,2018,0,111,0.0
Central Somerset,2008,0,305,0.0
Central Somerset,2009,0,326,0.0
Central Somerset,2010,0,338,0.0
Central Somerset,2011,0,345,0.0
Central Somerset,2012,0,346,0.0
Central Somerset,2013,0,339,0.0
Central Somerset,2014,0,335,0.0
Central Somerset,2015,0,331,0.0
Central Somerset,2016,0,327,0.0
Central Somerset,2017,0,327,0.0
Central Somerset,2018,0,327,0.0
Chapman,2014,0,460,0.0
Chapman,2016,0,463,0.0
Chapman,2017,0,463,0.0
Chapman,2018,0,463,0.0
Charleston,2008,0,"1,429",0.0
Charleston,2010,0,"1,409",0.0
Charleston,2011,0,"1,418",0.0
Charleston,2012,0,"1,416",0.0
Charleston,2013,0,"1,470",0.0
Charleston,2014,0,"1,414",0.0
Charleston,2015,0,"1,408",0.0
Charleston,2016,0,"1,432",0.0
Charleston,2017,0,"1,432",0.0
Charlotte,2009,0,324,0.0
Charlotte,2011,0,326,0.0
Charlotte,2012,0,326,0.0
Charlotte,2013,0,324,0.0
Charlotte,2014,0,321,0.0
Charlotte,2015,0,311,0.0
Charlotte,2016,0,319,0.0
Charlotte,2017,0,319,0.0
Charlotte,2018,0,319,0.0
Chebeague Island,2010,0,341,0.0
Chebeague Island,2014,0,348,0.0
Chelsea,2009,0,"2,750",0.0
Cherryfield,2009,0,"1,192",0.0
Cherryfield,2011,0,"1,227",0.0
Cherryfield,2012,0,"1,214",0.0
Cherryfield,2014,0,"1,163",0.0
Cherryfield,2016,0,"1,172",0.0
Chester,2008,0,510,0.0
Chester,2010,0,546,0.0
Chester,2011,0,557,0.0
Chester,2012,0,554,0.0
Chester,2013,0,551,0.0
Chester,2014,0,551,0.0
Chester,2015,0,549,0.0
Chester,2016,0,545,0.0
Chester,2017,0,545,0.0
Chester,2018,0,545,0.0
Chesterville,2008,0,"1,271",0.0
Chesterville,2009,0,"1,336",0.0
Chesterville,2011,0,"1,370",0.0
Chesterville,2012,0,"1,357",0.0
Chesterville,2013,0,"1,340",0.0
Chesterville,2015,0,"1,330",0.0
Chesterville,2016,0,"1,327",0.0
Chesterville,2018,0,"1,327",0.0
Clifton,2008,0,785,0.0
Clifton,2010,0,921,0.0
Clifton,2011,0,939,0.0
Clifton,2012,0,931,0.0
Clifton,2013,0,953,0.0
Clifton,2014,0,933,0.0
Clifton,2015,0,931,0.0
Clinton,2008,0,"3,327",0.0
Clinton,2009,0,"3,428",0.0
Columbia,2009,0,496,0.0
Columbia,2011,0,489,0.0
Columbia,2012,0,481,0.0
Columbia,2013,0,473,0.0
Columbia,2014,0,467,0.0
Columbia,2015,0,478,0.0
Columbia,2016,0,472,0.0
Columbia,2017,0,472,0.0
Columbia,2018,0,472,0.0
Columbia Falls,2009,0,598,0.0
Columbia Falls,2012,0,554,0.0
Columbia Falls,2015,0,560,0.0
Columbia Falls,2016,0,548,0.0
Columbia Falls,2017,0,548,0.0
Columbia Falls,2018,0,548,0.0
Connor Twp,2014,0,449,0.0
Connor Twp,2016,0,445,0.0
Connor Twp,2017,0,445,0.0
Connor Twp,2018,0,445,0.0
Cooper,2009,0,146,0.0
Cooper,2011,0,148,0.0
Cooper,2012,0,149,0.0
Cooper,2013,0,146,0.0
Cooper,2014,0,138,0.0
Cooper,2015,0,134,0.0
Cooper,2016,0,138,0.0
Cooper,2017,0,138,0.0
Cooper,2018,0,138,0.0
Coplin Plt,2008,0,144,0.0
Coplin Plt,2009,0,159,0.0
Coplin Plt,2010,0,166,0.0
Coplin Plt,2011,0,166,0.0
Coplin Plt,2012,0,163,0.0
Coplin Plt,2013,0,162,0.0
Coplin Plt,2014,0,165,0.0
Coplin Plt,2015,0,162,0.0
Coplin Plt,2016,0,161,0.0
Coplin Plt,2017,0,161,0.0
Coplin Plt,2018,0,161,0.0
Corinna,2008,0,"2,276",0.0
Corinna,2011,0,"2,204",0.0
Corinna,2012,0,"2,198",0.0
Corinna,2013,0,"2,174",0.0
Corinna,2015,0,"2,167",0.0
Corinna,2016,0,"2,155",0.0
Corinth,2008,0,"2,877",0.0
Corinth,2010,0,"2,878",0.0
Corinth,2011,0,"2,886",0.0
Corinth,2012,0,"2,881",0.0
Corinth,2015,0,"2,849",0.0
Corinth,2017,0,"2,870",0.0
Corinth,2018,0,"2,870",0.0
Cornville,2008,0,"1,375",0.0
Cornville,2009,0,"1,348",0.0
Cornville,2010,0,"1,314",0.0
Cornville,2011,0,"1,291",0.0
Cornville,2012,0,"1,312",0.0
Cornville,2013,0,"1,312",0.0
Cornville,2014,0,"1,301",0.0
Cornville,2015,0,"1,320",0.0
Cornville,2018,0,"1,310",0.0
Cranberry Isles,2008,0,121,0.0
Cranberry Isles,2009,0,133,0.0
Cranberry Isles,2010,0,141,0.0
Cranberry Isles,2011,0,138,0.0
Cranberry Isles,2012,0,137,0.0
Cranberry Isles,2013,0,142,0.0
Cranberry Isles,2014,0,140,0.0
Cranberry Isles,2015,0,138,0.0
Cranberry Isles,2016,0,138,0.0
Cranberry Isles,2017,0,138,0.0
Cranberry Isles,2018,0,138,0.0
Crawford,2009,0,103,0.0
Crawford,2011,0,104,0.0
Crawford,2012,0,104,0.0
Crawford,2013,0,102,0.0
Crawford,2014,0,100,0.0
Crawford,2015,0,99,0.0
Crawford,2016,0,98,0.0
Crawford,2017,0,98,0.0
Crawford,2018,0,98,0.0
Crystal,2014,0,259,0.0
Crystal,2016,0,252,0.0
Crystal,2018,0,252,0.0
Cutler,2009,0,556,0.0
Cutler,2011,0,507,0.0
Cutler,2012,0,504,0.0
Cutler,2013,0,502,0.0
Cutler,2015,0,487,0.0
Cutler,2017,0,493,0.0
Cutler,2018,0,493,0.0
Cyr Plt,2014,0,102,0.0
Cyr Plt,2016,0,100,0.0
Cyr Plt,2017,0,100,0.0
Cyr Plt,2018,0,100,0.0
Dallas Plt,2008,0,261,0.0
Dallas Plt,2009,0,292,0.0
Dallas Plt,2010,0,309,0.0
Dallas Plt,2011,0,307,0.0
Dallas Plt,2012,0,303,0.0
Dallas Plt,2013,0,300,0.0
Dallas Plt,2014,0,305,0.0
